rank,frequency,action_sign,action_scale,knee_action_scale,trials,mean_return,mean_length,success_rate,mean_x_displacement,mean_y_displacement,mean_forward_score,std_forward_score,rank_score
114,1.0000,1.0,0.3000,0.2000,3,139.844784,155.67,0.0000,0.222346,-2.291416,-0.235937,0.307827,0.542396
115,1.0000,1.0,0.1000,0.3000,3,35.207353,30.00,0.0000,0.410267,-0.052208,0.386246,0.134300,0.536246
116,0.6000,1.0,0.2000,0.2000,3,130.806299,147.67,0.3333,-0.252348,-0.685631,-0.389474,0.245004,0.515526
117,0.4000,-1.0,0.4000,0.2000,3,183.411449,236.33,0.6667,-0.290501,-3.561850,-1.002871,0.322879,0.512129
118,0.6000,1.0,0.1000,0.3000,3,55.574117,52.67,0.0000,0.400603,-0.860685,0.228466,0.506294,0.491800
119,0.6000,-1.0,0.1000,0.2000,3,140.394895,147.33,0.3333,0.019308,-2.180224,-0.416737,0.830358,0.486597
120,0.6000,1.0,0.4000,0.3000,3,45.560937,52.00,0.0000,0.321931,-0.622466,0.197438,0.414700,0.457438
121,1.0000,-1.0,0.5000,0.3000,3,46.304030,61.00,0.0000,0.310323,-0.688322,0.151380,0.038840,0.456380
122,0.6000,-1.0,0.5000,0.5000,3,19.859768,23.67,0.0000,0.401339,-0.328099,0.335719,0.141988,0.454052
123,0.8000,-1.0,0.3000,0.4000,3,22.741497,20.00,0.0000,0.386296,-0.128868,0.353527,0.030678,0.453527
124,0.8000,-1.0,0.3000,0.2000,3,83.130721,91.33,0.0000,0.185252,-0.988099,-0.012368,0.751276,0.444298
125,0.4000,1.0,0.5000,0.2000,3,120.589949,172.67,0.3333,-0.127225,-2.321062,-0.591437,0.405505,0.438563
126,0.8000,-1.0,0.1000,0.3000,3,58.191530,61.00,0.0000,0.160005,-0.008522,0.124771,0.542327,0.429771
127,1.0000,1.0,0.1000,0.4000,3,32.950883,32.00,0.0000,0.319515,-0.075738,0.259617,0.445352,0.419617
128,0.8000,-1.0,0.5000,0.4000,3,18.176050,19.00,0.0000,0.345047,-0.126726,0.319701,0.057040,0.414701
129,0.8000,-1.0,0.4000,0.4000,3,44.727873,56.67,0.0000,0.309125,-0.830747,0.129413,0.613394,0.412746
130,0.4000,-1.0,0.2000,0.1000,3,277.378206,300.00,1.0000,-0.381090,-6.042399,-1.589569,2.103043,0.410431
131,0.6000,-1.0,0.3000,0.4000,3,25.905894,25.00,0.0000,0.361349,-0.398786,0.281592,0.054193,0.406592
132,1.0000,-1.0,0.4000,0.4000,3,125.655571,205.67,0.6667,-0.709878,0.177896,-0.956042,1.606096,0.405624
133,0.6000,1.0,0.2000,0.3000,3,76.855353,83.67,0.0000,0.199147,-1.179358,-0.036725,0.534281,0.381608
134,0.8000,1.0,0.5000,0.5000,3,50.658662,112.67,0.3333,-0.283836,-0.334662,-0.350768,0.477662,0.379232
135,0.8000,1.0,0.4000,0.3000,3,104.355005,150.67,0.3333,-0.432221,-0.661008,-0.564423,1.077149,0.355577
136,0.6000,1.0,0.5000,0.3000,3,27.936568,35.33,0.0000,0.216983,-0.185184,0.163690,0.325070,0.340357
137,0.4000,1.0,0.2000,0.4000,3,149.856858,212.33,0.6667,-0.997506,-0.330819,-1.063670,0.539437,0.331330
138,0.4000,1.0,0.3000,0.4000,3,139.032986,211.67,0.6667,-0.982083,-0.428976,-1.072132,0.421915,0.319535
139,1.0000,-1.0,0.5000,0.2000,3,75.369305,107.33,0.0000,-0.033973,-1.032493,-0.240471,1.061313,0.296195
140,0.4000,1.0,0.2000,0.1000,3,277.137763,300.00,1.0000,-0.393112,-6.590310,-1.711174,0.881521,0.288826
141,0.6000,-1.0,0.4000,0.3000,3,29.503456,36.00,0.0000,0.121412,-0.052410,0.098710,0.133291,0.278710
142,0.6000,-1.0,0.5000,0.2000,3,47.162325,63.67,0.0000,0.085337,-0.796458,-0.073955,0.331258,0.244379
143,0.8000,1.0,0.3000,0.2000,3,54.205399,60.67,0.0000,0.072625,-0.708271,-0.069029,0.472791,0.234304
144,0.4000,-1.0,0.4000,0.5000,3,104.082067,211.33,0.6667,-1.024542,-0.665371,-1.157616,0.979465,0.232384
145,0.4000,-1.0,0.1000,0.2000,3,269.800888,300.00,1.0000,-0.759907,-5.152015,-1.790310,1.206458,0.209690
146,0.6000,1.0,0.5000,0.5000,3,49.641009,118.33,0.3333,-0.476372,-0.247352,-0.558788,0.620998,0.199545
147,0.6000,1.0,0.3000,0.3000,3,27.631968,31.00,0.0000,0.110574,-0.468695,0.016835,0.274005,0.171835
148,0.6000,1.0,0.1000,0.2000,3,120.599658,129.67,0.0000,-0.132420,-1.772682,-0.486957,1.460396,0.161377
149,0.4000,1.0,0.3000,0.1000,3,256.020435,300.00,1.0000,-0.698949,-5.847622,-1.868474,2.138366,0.131526
150,0.6000,1.0,0.4000,0.5000,3,25.602725,43.00,0.0000,0.012940,-0.539082,-0.094876,0.253082,0.120124
151,0.4000,1.0,0.5000,0.4000,3,100.907205,211.33,0.6667,-1.194733,-0.394848,-1.273703,0.413931,0.116297
152,1.0000,1.0,0.4000,0.4000,3,31.078622,44.33,0.0000,0.046596,-0.785411,-0.110486,0.081288,0.111181
153,0.4000,-1.0,0.3000,0.4000,3,31.974799,43.67,0.0000,-0.028397,-0.399840,-0.108365,0.369684,0.109968
154,1.0000,-1.0,0.1000,0.2000,3,201.065588,230.00,0.3333,-0.871775,1.735371,-1.218849,0.229580,0.097818
155,0.8000,-1.0,0.1000,0.4000,3,93.910924,128.33,0.3333,-0.635482,-0.401255,-0.715733,0.660908,0.092600
156,0.6000,-1.0,0.5000,0.3000,3,19.861121,29.33,0.0000,0.008332,-0.313432,-0.054354,0.389633,0.092313
157,1.0000,1.0,0.5000,0.5000,3,20.780668,43.00,0.0000,-0.036299,-0.463576,-0.129014,0.096001,0.085986
158,0.8000,-1.0,0.5000,0.2000,3,35.875276,52.67,0.0000,-0.073618,-0.567629,-0.187144,0.615131,0.076189
159,0.8000,1.0,0.5000,0.4000,3,18.093150,31.67,0.0000,-0.032201,-0.301093,-0.092420,0.379997,0.065914
160,1.0000,1.0,0.1000,0.2000,3,43.253713,47.00,0.0000,-0.069242,-0.129140,-0.170685,0.438154,0.064315
161,0.8000,-1.0,0.3000,0.5000,3,111.909308,194.00,0.3333,-0.813851,-1.464611,-1.106773,0.888762,0.029893
162,0.4000,-1.0,0.5000,0.4000,3,22.876199,41.67,0.0000,-0.104045,-0.389878,-0.182021,0.670468,0.026313
